from_ingredient,to_ingredient
EGG YOLKS AND EGG WHITES,"EGG WHITES, EGG YOLK"
EGG YOLKS. CHOCOLATY COATING: SUGAR,"EGG YOLK, CHOCOLATE COATING, SUGAR"
EGGS,EGG
ENRICHED FLOUR,
ENRICHED FLOUR (WHEAT FLOUR,ENRICHED WHEAT FLOUR
ENRICHED WHEAT FLOUR,ENRICHED WHEAT FLOUR
ENRICHED WHEAT FLOUR (WHEAT FLOUR,ENRICHED WHEAT FLOUR
ENZYMES,
ENZYMES),ENZYMES
ERYTHRITOL,
EVAPORATED MILK,
EXPELLER PRESSED SOYBEAN OIL,
FOLIC ACID,
FOLIC ACID),FOLIC ACID
FRUCTOSE,
FRUIT AND VEGETABLE CONCENTRATES (COLOR),
FRUIT AND VEGETABLE JUICE (FOR COLOR),
FUDGE COATING,
FUDGE COVERED WAFFLE CONE PIECES,
FUDGE SWIRL,
GINGER,
GLYCERIN,
GRAHAM CRUMB,
GRAHAM FLOUR,
GRAPE JUICE CONCENTRATE,
GRAPE MUST),GRAPE MUST
GREEN TEA,
GROUND HEATH TOFFEE PIECES,
GROUND VANILLA BEANS,
GUAR,
GUAR GUM,
GUAR GUM),GUAR GUM
HAZELNUTS,
HEATH TOFFEE BAR PIECES,
HEAVY CREAM,
HIBISCUS FLOWER,
HIBISCUS POWDER,
HIGH FRUCTOSE CORN SYRUP,
HONEY,
HYDROGENATED VEGETABLE OIL,
INGREDIENTS: ORGANIC SKIM MILK,ORGANIC SKIM MILK
INVERT CANE SUGAR,
INVERT SUGAR,
LACTASE,
LACTASE ENZYME,
LACTIC ACID,
LACTOSE,
LACTOSE REDUCED SKIM MILK,
LEAVENING,
LECITHIN (SOY),
LEMON JUICE,
LEMON JUICE CONCENTRATE,
LEMON OIL,
LEMON PEEL,
LIME JUICE CONCENTRATE,
LIQUID SUGAR,
LIQUID SUGAR (SUGAR,LIQUID SUGAR
LOCUST BEAN,
LOCUST BEAN GUM,
M&M'S MINIS MILK CHOCOLATE CANDIES WITH COCOA BUTTER,
MALIC ACID,
MALTED BARLEY FLOUR,
MALTITOL,
MALTITOL SYRUP,
MALTODEXTRIN (CORN),
MANGO,
MANGO PUREE,
MANGOS,MANGO
MAPLE SYRUP,
MILK,
MILK CHOCOLATE,
MILK CHOCOLATE AND VEGETABLE OIL COATING,
MILK CHOCOLATE CANDIES,
MILK FAT,
MILK PROTEIN CONCENTRATE,
MILKFAT,MILK FAT
MINT LEAF EXTRACTIVES,
MODIFIED CORN STARCH,MODIFIED CORNSTARCH
MODIFIED CORNSTARCH,
MODIFIED FOOD STARCH (CORN),
MODIFIED FOOD STARCH (TAPIOCA),
MOLASSES,
MONO AND DIGLYCERIDES,
MONOCALCIUM PHOSPHATE,
MONOCALCIUM PHOSPHATE),MONOCALCIUM PHOSPHATE
NATURAL FLAVOR,
NATURAL FLAVOR (COCONUT),
NATURAL FLAVOR),NATURAL FLAVOR
NATURAL FLAVORS,NATURAL FLAVOR
NATURAL FLAVORS (CONTAINS BARLEY),
NIACIN,
NONFAT DRY MILK,
NONFAT MILK,
NONFAT MILK SOLIDS,
NUTMEG,
OAKWOOD EXTRACT,
OATS,
ORANGE JUICE (FROM CONCENTRATE),ORANGE JUICE CONCENTRATE
ORANGE JUICE CONCENTRATE,ORANGE JUICE CONCENTRATE
OREO COOKIE PIECES,
ORGANIC BLACK COCOA PROCESSED WITH ALKALI,
ORGANIC BUTTER (CREAM,ORGANIC BUTTER ORGANIC CREAM
ORGANIC BUTTER (ORGANIC CREAM,ORGANIC BUTTER ORGANIC CREAM
ORGANIC CANE SUGAR,
ORGANIC CARAMELIZED SUGAR (ORGANIC CANE SUGAR,
ORGANIC CAROB BEAN GUM,
ORGANIC CHOCOLATE,
ORGANIC COCOA PROCESSED WITH ALKALI,
ORGANIC CREAM,
ORGANIC DEXTROSE,
ORGANIC EGG WHITES AND EGG YOLKS,
ORGANIC EGG YOLKS,
ORGANIC GINGER,
ORGANIC GREEN TEA,
ORGANIC LEMON JUICE CONCENTRATE,
ORGANIC MATCHA GREEN TEA,
ORGANIC MILK,
ORGANIC SKIM MILK,
ORGANIC VANILLA EXTRACT,
PALM AND PALM KERNEL OIL,"PALM OIL, PALM KERNEL OIL"
PALM AND SOYBEAN OILS,"PALM OIL, SOYBEAN OIL"
PALM KERNEL,
PALM KERNEL OIL,
PALM OIL,
PALM OIL AND SOYBEAN OIL,"PALM OIL, SOYBEAN OIL"
PALM OIL AND/OR CANOLA OIL,"PALM OIL, CANOLA OIL"
PARTIALLY DEFATTED PEANUT FLOUR,
PASTEURIZED EGGS,
PASTEURIZED MILK,
PASTEURIZED MILK AND CREAM,"PASTEURIZED MILK, PASTEURIZED CREAM"
PASTEURIZED WHOLE EGGS,
PEA PROTEIN,
PEACHES,
PEANUT BUTTER (PEANUTS),"PEANUTS, PEANUT BUTTER"
PEANUT BUTTER FROZEN DESSERT: WATER,"PEANUTS, PEANUT BUTTER FROZEN DESSERT, WATER"
PEANUT EXTRACT,"PEANUTS, PEANUT EXTRACT"
PEANUT FLOUR,"PEANUTS, PEANUT FLOUR"
PEANUT OIL,"PEANUTS, PEANUT OIL"
PEANUT OIL),PEANUT OIL
PEANUTS,
PECANS,
PECTIN,
